Circuit: * C:\Users\diana\Desktop\UniversityITMO\Digital Design\lab 1\part_1\adder4_main.asc
WARNING: Less than two connections to node X1:X9:X5:X2:N003.  This node is used by M:X1:X9:X5:X2:4.
WARNING: Less than two connections to node X1:X9:X5:X3:N002.  This node is used by M:X1:X9:X5:X3:3.
WARNING: Less than two connections to node X1:X9:X5:X3:N003.  This node is used by M:X1:X9:X5:X3:4.
WARNING: Less than two connections to node X1:X9:X5:X4:N002.  This node is used by M:X1:X9:X5:X4:3.
WARNING: Less than two connections to node X1:X9:X5:X4:N003.  This node is used by M:X1:X9:X5:X4:4.
WARNING: Less than two connections to node X1:X9:X5:X5:N002.  This node is used by M:X1:X9:X5:X5:3.
WARNING: Less than two connections to node X1:X9:X5:X5:N003.  This node is used by M:X1:X9:X5:X5:4.
WARNING: Less than two connections to node X1:X9:X6:X1:N002.  This node is used by M:X1:X9:X6:X1:3.
WARNING: Less than two connections to node X1:X9:X6:X1:N003.  This node is used by M:X1:X9:X6:X1:4.
WARNING: Less than two connections to node X1:X9:X6:X2:N002.  This node is used by M:X1:X9:X6:X2:3.
WARNING: Less than two connections to node X1:X9:X6:X2:N003.  This node is used by M:X1:X9:X6:X2:4.
WARNING: Less than two connections to node X1:X9:X6:X3:N002.  This node is used by M:X1:X9:X6:X3:3.
WARNING: Less than two connections to node X1:X9:X6:X3:N003.  This node is used by M:X1:X9:X6:X3:4.
WARNING: Less than two connections to node X1:X9:X6:X4:N002.  This node is used by M:X1:X9:X6:X4:3.
WARNING: Less than two connections to node X1:X9:X6:X4:N003.  This node is used by M:X1:X9:X6:X4:4.
WARNING: Less than two connections to node X1:X9:X6:X5:N002.  This node is used by M:X1:X9:X6:X5:3.
WARNING: Less than two connections to node X1:X9:X6:X5:N003.  This node is used by M:X1:X9:X6:X5:4.
WARNING: Less than two connections to node X1:X9:X4:X1:X1:N002.  This node is used by M:X1:X9:X4:X1:X1:3.
WARNING: Less than two connections to node X1:X9:X4:X1:X1:N003.  This node is used by M:X1:X9:X4:X1:X1:4.
WARNING: Less than two connections to node X1:X9:X4:X1:X2:X1:N002.  This node is used by M:X1:X9:X4:X1:X2:X1:3.
WARNING: Less than two connections to node X1:X9:X4:X1:X2:X1:N003.  This node is used by M:X1:X9:X4:X1:X2:X1:4.
WARNING: Less than two connections to node X1:X9:X4:X2:X1:N002.  This node is used by M:X1:X9:X4:X2:X1:3.
WARNING: Less than two connections to node X1:X9:X4:X2:X1:N003.  This node is used by M:X1:X9:X4:X2:X1:4.
WARNING: Less than two connections to node X1:X9:X4:X2:X2:X1:N002.  This node is used by M:X1:X9:X4:X2:X2:X1:3.
WARNING: Less than two connections to node X1:X9:X4:X2:X2:X1:N003.  This node is used by M:X1:X9:X4:X2:X2:X1:4.
Early termination of direct N-R iteration.
Direct Newton iteration failed to find .op point.  (Use ".option noopiter" to skip.)
Starting Gmin stepping
Gmin = 10
Gmin = 1.07374
Gmin = 0.115292
Gmin = 0.0123794
Gmin = 0.00132923
Gmin = 0.000142725
Gmin = 1.5325e-005
Gmin = 1.6455e-006
Gmin = 1.76685e-007
Gmin = 1.89714e-008
Gmin = 2.03704e-009
Gmin = 2.18725e-010
Gmin = 2.34854e-011
Gmin = 2.52173e-012
Gmin = 2.70769e-013
Gmin = 0
Gmin stepping succeeded in finding the operating point.


Date: Mon Mar 25 13:02:38 2024
Total elapsed time: 7.670 seconds.

tnom = 27
temp = 27
method = modified trap
totiter = 20895
traniter = 20501
tranpoints = 10089
accept = 10077
rejected = 12
matrix size = 1860
fillins = 684
solver = Normal
Thread vector: 550.3/148.2[8] 70.7/12.4[8] 36.4/14.1[8] 23.9/11.1[8]  2592/500
Matrix Compiler1: 321.14 KB object code size  166.3/45.9/[24.4]
Matrix Compiler2: 246.18 KB object code size  70.5/62.0/[44.6]

